Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XD|1396|46.158112|-122.26605|918.3|WGS84|2014-07-22T17:15:32|2014-07-27T00:00:00
XD|1397|46.160253|-122.265168|922.2|WGS84|2014-07-22T17:20:45|2014-07-27T00:00:00
XD|1398|46.160883|-122.264546|928.3|WGS84|2014-07-22T17:27:52|2014-07-27T00:00:00
XD|1399|46.162083|-122.263991|939.8|WGS84|2014-07-22T17:32:29|2014-07-27T00:00:00
XD|1400|46.162916|-122.263667|946.7|WGS84|2014-07-22T17:37:51|2014-07-27T00:00:00
XD|14001|46.221834|-122.276519|1238.0|WGS84|2014-07-23T19:00:35|2014-07-27T00:00:00
XD|14002|46.226811|-122.276796|1246.0|WGS84|2014-07-23T18:44:15|2014-07-27T00:00:00
XD|14003|46.228847|-122.278083|1267.7|WGS84|2014-07-23T19:15:32|2014-07-27T00:00:00
XD|14004|46.229496|-122.277735|1257.9|WGS84|2014-07-23T18:53:35|2014-07-27T00:00:00
XD|14005|46.232081|-122.281784|1243.9|WGS84|2014-07-23T19:26:11|2014-07-27T00:00:00
XD|14006|46.233453|-122.28309|1215.2|WGS84|2014-07-23T19:03:54|2014-07-27T00:00:00
XD|14007|46.233008|-122.288015|1261.5|WGS84|2014-07-23T19:36:52|2014-07-27T00:00:00
XD|14008|46.23655|-122.285593|1275.1|WGS84|2014-07-23T19:13:10|2014-07-27T00:00:00
XD|14009|46.23829|-122.289219|1262.9|WGS84|2014-07-23T19:48:14|2014-07-27T00:00:00
XD|1401|46.165123|-122.262855|964.0|WGS84|2014-07-22T17:43:20|2014-07-27T00:00:00
XD|14010|46.23917|-122.289968|1268.5|WGS84|2014-07-23T19:24:22|2014-07-27T00:00:00
XD|14011|46.242123|-122.294194|1232.0|WGS84|2014-07-23T19:56:20|2014-07-27T00:00:00
XD|14012|46.24267|-122.29698|1227.8|WGS84|2014-07-23T19:34:48|2014-07-27T00:00:00
XD|14013|46.24239|-122.302034|1248.5|WGS84|2014-07-23T20:03:12|2014-07-27T00:00:00
XD|14014|46.242863|-122.304817|1249.3|WGS84|2014-07-23T19:44:30|2014-07-27T00:00:00
XD|14015|46.244095|-122.308411|1261.4|WGS84|2014-07-23T20:10:42|2014-07-27T00:00:00
XD|14016|46.242678|-122.312102|1262.1|WGS84|2014-07-23T19:53:53|2014-07-27T00:00:00
XD|14017|46.242963|-122.31404|1263.0|WGS84|2014-07-23T20:19:27|2014-07-27T00:00:00
XD|14018|46.244673|-122.315267|1264.6|WGS84|2014-07-23T20:01:38|2014-07-27T00:00:00
XD|14019|46.246213|-122.317629|1263.2|WGS84|2014-07-23T20:26:27|2014-07-27T00:00:00
XD|1402|46.16593|-122.262462|970.5|WGS84|2014-07-22T17:47:25|2014-07-27T00:00:00
XD|14020|46.247196|-122.319979|1278.6|WGS84|2014-07-23T20:08:50|2014-07-27T00:00:00
XD|14021|46.248488|-122.3238|1308.7|WGS84|2014-07-22T00:44:49|2014-07-27T00:00:00
XD|14022|46.24561|-122.33015|1334.0|WGS84|2014-07-22T00:32:28|2014-07-27T00:00:00
XD|14023|46.246379|-122.331584|1337.7|WGS84|2014-07-22T00:32:28|2014-07-27T00:00:00
XD|14024|46.248134|-122.333862|1326.2|WGS84|2014-07-22T00:27:46|2014-07-27T00:00:00
XD|14025|46.249043|-122.335669|1331.3|WGS84|2014-07-22T00:23:16|2014-07-27T00:00:00
XD|14026|46.249788|-122.338229|1334.4|WGS84|2014-07-22T00:17:44|2014-07-27T00:00:00
XD|14027|46.249884|-122.341012|1321.5|WGS84|2014-07-22T00:16:31|2014-07-27T00:00:00
XD|14028|46.25058|-122.343943|1318.3|WGS84|2014-07-22T00:09:22|2014-07-27T00:00:00
XD|14029|46.250611|-122.346172|1320.4|WGS84|2014-07-22T00:08:03|2014-07-27T00:00:00
XD|1403|46.166656|-122.261782|969.4|WGS84|2014-07-22T17:56:16|2014-07-27T00:00:00
XD|14030|46.247978|-122.351171|1267.1|WGS84|2014-07-21T23:59:17|2014-07-27T00:00:00
XD|14031|46.249136|-122.352871|1260.6|WGS84|2014-07-21T23:59:01|2014-07-27T00:00:00
XD|14032|46.250291|-122.356096|1234.2|WGS84|2014-07-21T23:50:38|2014-07-27T00:00:00
